Name,Category,Mention Count,Sample Files
Jeffrey Epstein,core,1371,EFTA00024875; EFTA00026428; EFTA00026703; EFTA00023813; EFTA00024265
Ghislaine Maxwell,accomplice,1133,EFTA00024220; EFTA00025018; EFTA00026458; EFTA00024265; EFTA00024888
New York,unknown,1055,EFTA00024436; EFTA00026848; EFTA00024921; EFTA00024888; EFTA00026673
"Normal
Attachments",unknown,839,EFTA00026649; EFTA00026536; EFTA00027047; EFTA00023916; EFTA00024542
"Epstein
Date",core,503,EFTA00024723; EFTA00024717; EFTA00024795; EFTA00026624; EFTA00024822
End Date,unknown,361,EFTA00024821; EFTA00026916; EFTA00026603; EFTA00026786; EFTA00025512
Date Created,unknown,357,EFTA00024821; EFTA00026916; EFTA00026603; EFTA00026786; EFTA00025512
Date Modified,unknown,355,EFTA00024821; EFTA00026916; EFTA00026603; EFTA00026786; EFTA00025512
Christian Everdell,attorney,295,EFTA00025144; EFTA00027080; EFTA00024888; EFTA00024228; EFTA00025035
Laura Menninger,attorney,278,EFTA00025144; EFTA00027080; EFTA00025035; EFTA00025037; EFTA00025378
Start Date,unknown,248,EFTA00026916; EFTA00026603; EFTA00026786; EFTA00025512; EFTA00026403
Federal Bureau,unknown,222,EFTA00025544; EFTA00025536; EFTA00026494; EFTA00023780; EFTA00037301
Park Row,unknown,217,EFTA00024400; EFTA00026669; EFTA00036841; EFTA00036334; EFTA00036416
Human Trafficking,unknown,205,EFTA00026673; EFTA00024742; EFTA00025163; EFTA00025129; EFTA00025123
Jeff Pagliuca,attorney,203,EFTA00025144; EFTA00027080; EFTA00025037; EFTA00024235; EFTA00026566
Special Agent,unknown,188,EFTA00026851; EFTA00025226; EFTA00026673; EFTA00025521; EFTA00025123
Associate Warden,unknown,183,EFTA00036841; EFTA00036914; EFTA00036907; EFTA00036843; EFTA00036878
Suicide Watch,unknown,159,EFTA00024366; EFTA00036370; EFTA00036517; EFTA00036667; EFTA00036574
"Jeffrey
Epstein",core,158,EFTA00025018; EFTA00026527; EFTA00026622; EFTA00026487; EFTA00026794
